ordre id_c id_t nb_occurrence taux_recouvrement recouvrement certificat
7 52 49 6 2.3333333333333335 '1041141311515211523 '000000000000004000000000000000b00000000000000042000000000000004000000000000000020000000000000002000000000000002c
7 46 50 6 2.4705882352941178 '1032132432324220422 '000000000000006000000000000000820000000000000080000000000000000e000000000000001000000000000000100000000000000050
7 1 51 6 2.625 '3234232433312100420 '000000000000000a0000000000000004000000000000001200000000000000240000000000000080000000000000005000000000000000a0
7 39 52 6 2.8 '2004241425403301421 '0000000000000060000000000000008200000000000000840000000000000002000000000000000200000000000000200000000000000058
7 2 53 7 2.8823529411764706 '4334143422523102420 '000000000000000200000000000000040000000000000002000000000000000a0000000000000014000000000000004800000000000000b0
7 43 54 7 3.2666666666666666 '4021472124726300202 '0000000000000060000000000000008000000000000000860000000000000004000000000000000200000000000000300000000000000028
7 50 55 8 3.7333333333333334 '4004052413618303543 '000000000000004000000000000000b000000000000000460000000000000040000000000000000400000000000000280000000000000020
7 73 56 8 4.0 '0000172314828510743 '00000000000000020000000000000002000000000000000800000000000000060000000000000024000000000000001800000000000000d0
7 45 57 9 3.3157894736842106 '3312274324727212632 '000000000000004000000000000000a0000000000000005000000000000000280000000000000014000000000000000a0000000000000004
7 53 58 9 3.5 '3105161324836531533 '000000000000004000000000000000a000000000000000580000000000000022000000000000002000000000000000020000000000000014
7 55 59 9 3.9375 '2151041741709102864 '000000000000004000000000000000a00000000000000050000000000000002c000000000000001200000000000000100000000000000008
7 37 60 9 4.2 '4005441617726400543 '0000000000000060000000000000008200000000000000800000000000000006000000000000000200000000000000100000000000000058
7 16 61 9 4.5 '4185295347614400000 '000000000000000a0000000000000004000000000000000200000000000000040000000000000080000000000000005200000000000000a4
7 11 62 10 3.888888888888889 '5285374446653310211 '0000000000000002000000000000000c000000000000001200000000000000200000000000000042000000000000004000000000000000a8
7 10 63 10 4.117647058823529 '5285463466314100741 '00000000000000060000000000000008000000000000001200000000000000200000000000000044000000000000008800000000000000a0
7 15 64 10 4.117647058823529 '52853104356633300211 '00000000000000060000000000000008000000000000001200000000000000200000000000000042000000000000008000000000000000a8
7 19 65 10 4.117647058823529 '2288274648422203330 '000000000000000a0000000000000004000000000000000200000000000000040000000000000084000000000000005800000000000000a0
7 40 66 10 4.375 '3025373557433400781 '0000000000000060000000000000008400000000000000820000000000000004000000000000000200000000000000500000000000000028
7 20 67 10 5.0 '62840105007947310202 '000000000000000200000000000000040000000000000004000000000000000a000000000000001000000000000000620000000000000094
7 18 68 12 4.666666666666667 '711152104226856330531 '00000000000000020000000000000004000000000000000a00000000000000080000000000000030000000000000004200000000000000a4
7 35 69 12 4.666666666666667 '5043693765754332642 '000000000000006000000000000000820000000000000080000000000000000a000000000000001400000000000000080000000000000050
7 41 70 12 5.25 '10654114578523403880 '0000000000000060000000000000008800000000000000860000000000000008000000000000005000000000000000200000000000000020
7 14 71 12 5.6 '4210841244810400402260 '0000000000000008000000000000000600000000000000020000000000000004000000000000008400000000000000580000000000000060
7 72 72 16 7.466666666666667 '00003132857143167131389 '0000000000000002000000000000000400000000000000080000000000000006000000000000002200000000000000500000000000000098
7 5 73 17 6.611111111111111 '10112177448169168321253 '0000000000000004000000000000000200000000000000180000000000000024000000000000002200000000000000900000000000000048
7 48 74 18 6.631578947368421 '51844146657155154241272 '000000000000004000000000000000b000000000000000420000000000000040000000000000000600000000000000080000000000000028
7 51 75 18 7.875 '817201892010181016830824 '000000000000004000000000000000b000000000000000420000000000000044000000000000000400000000000000180000000000000020
7 36 76 19 7.388888888888889 '4010561657111013612633943 '000000000000006000000000000000860000000000000080000000000000000a000000000000001000000000000000400000000000000050
7 38 77 29 11.941176470588236 '40151013271210192015610120711111 '0000000000000060000000000000008a00000000000000840000000000000008000000000000005000000000000000200000000000000040
7 34 78 30 11.666666666666666 '40141292212162017101310114416124 '000000000000006000000000000000820000000000000084000000000000000a000000000000001000000000000000200000000000000050
