ordre id_c id_t nb_occurrence taux_recouvrement recouvrement certificat
4 3 0 6 1.0909090909090908 '22111011110110100001101100000101101100100000 '000000000000004000000000000000a000000000000000500000000000000020
4 5 1 7 1.12 '00000000000010100001121111111121010111121111 '00000000000000100000000000000010000000000000001000000000000000e0
4 2 2 8 1.391304347826087 '22221111111112122221001000000001001000000000 '000000000000004000000000000000b000000000000000400000000000000040
4 0 3 21 2.210526315789474 '22334444344422222222212211000222121211211000 '0000000000000040000000000000009000000000000000100000000000000060
4 1 4 22 3.0344827586206895 '44445455554524234322102100000102102100100000 '0000000000000060000000000000009000000000000000800000000000000040
4 4 5 25 2.9411764705882355 '00002422224212232341853000411763342000441411 '00000000000000300000000000000010000000000000008000000000000000c0
5 11 0 5 1.0416666666666667 '00001011010110100001111111000121010111111000 '00000000000000400000000000000088000000000000000800000000000000080000000000000070
5 0 1 5 1.4705882352941178 '22331211112101011110000000000000000000000000 '00000000000000200000000000000010000000000000008800000000000000480000000000000030
5 7 2 6 1.1538461538461537 '22111011110112112101101100000101101100100000 '000000000000004000000000000000b0000000000000004800000000000000400000000000000020
5 6 3 6 1.25 '22112121211210100001101100000101101100100000 '00000000000000600000000000000090000000000000008000000000000000480000000000000010
5 10 4 6 1.25 '00002112221112112101101100000101101100100000 '00000000000000300000000000000010000000000000008800000000000000c00000000000000020
5 9 5 7 1.3461538461538463 '00001211112111121231211000100221111000000000 '000000000000002800000000000000180000000000000080000000000000004000000000000000c0
5 13 6 7 1.9444444444444444 '00000000000000100000432000211342120000221211 '000000000000001800000000000000080000000000000008000000000000008000000000000000e0
5 5 7 8 1.7391304347826086 '22222222222212122221001000000001001000000000 '00000000000000600000000000000080000000000000009800000000000000200000000000000020
5 3 8 10 2.1739130434782608 '22332422224212132341001000000001001000000000 '00000000000000400000000000000098000000000000001000000000000000600000000000000040
5 8 9 11 1.7741935483870968 '43222022120220200002212211000222121211211000 '000000000000004000000000000000a0000000000000004800000000000000080000000000000030
5 2 10 16 2.4242424242424243 '22334442334212232341313000100423222000110100 '00000000000000400000000000000090000000000000001800000000000000600000000000000020
5 12 11 16 3.076923076923077 '00000210002100210120864000422673242000442422 '00000000000000100000000000000008000000000000001800000000000000a00000000000000060
5 4 12 16 3.4782608695652173 '44444444444424244442002000000002002000000000 '00000000000000600000000000000090000000000000008800000000000000400000000000000020
5 1 13 21 2.763157894736842 '22335556465526245422212211000222121211211000 '00000000000000600000000000000088000000000000008000000000000000080000000000000050
