ordre id_c id_t nb_occurrence taux_recouvrement recouvrement certificat
4 4 0 6 1.0909090909090908 '000000000001010001121121111010000111111111 '0000000000000070000000000000008000000000000000800000000000000080
4 2 1 6 1.263157894736842 '112201111111112221001000000000001000000000 '000000000000004000000000000000b000000000000000400000000000000040
4 1 2 11 2.588235294117647 '304434044431212121000000000000001000000000 '0000000000000060000000000000009000000000000000800000000000000040
4 0 3 13 2.08 '324424323431212221101100000000101100100000 '0000000000000040000000000000009000000000000000100000000000000060
4 3 4 32 3.3684210526315788 '0000145544552444441066752411351213311311411 '00000000000000300000000000000010000000000000008000000000000000c0
5 0 0 4 1.4285714285714286 '213212101210101110000000000000000000000000 '00000000000000200000000000000010000000000000008800000000000000480000000000000030
5 4 1 5 1.4705882352941178 '102212022211112121000000000000001000000000 '00000000000000600000000000000080000000000000009800000000000000200000000000000020
5 8 2 9 1.6666666666666667 '000000111012010001443332211130000111111211 '000000000000000800000000000000380000000000000040000000000000004000000000000000c0
5 6 3 10 1.8518518518518519 '000013411332112221423210200220101100100100 '00000000000000100000000000000008000000000000001800000000000000a00000000000000060
5 3 4 10 2.9411764705882355 '204424044421423242000000000000002000000000 '00000000000000600000000000000090000000000000008800000000000000400000000000000020
5 1 5 11 2.5 '304446145541212121000100000000101100100000 '00000000000000600000000000000088000000000000008000000000000000080000000000000050
5 5 6 12 2.4 '224414322432224442102100000000102100100000 '00000000000000400000000000000098000000000000001000000000000000600000000000000040
5 2 7 16 2.3529411764705883 '434514433443133342213211000010111211211000 '00000000000000400000000000000090000000000000001800000000000000600000000000000020
5 7 8 22 2.972972972972973 '000002332235224433866653422252113211211422 '000000000000002800000000000000180000000000000080000000000000004000000000000000c0
