ordonne nbOccur taux indice
0 1 1.0 0
1 1 1.0 1
2 1 1.0 2
3 1 1.0 3
4 1 1.0 4
5 1 1.0 14
6 1 1.0 17
7 1 1.0 21
8 1 1.0 23
9 1 1.0 24
10 1 1.0 25
11 1 1.0 26
12 1 1.0 27
13 2 1.0 7
14 2 1.0 10
15 2 1.0 15
16 2 1.0 19
17 3 1.0 6
18 3 1.0909090909090908 16
19 3 1.0909090909090908 28
20 3 1.2 8
21 3 1.2 12
22 4 1.4545454545454546 20
23 4 1.6 5
24 4 1.6 11
25 4 1.6 30
26 4 1.7777777777777777 18
27 5 1.6666666666666667 9
28 5 1.6666666666666667 13
29 5 1.8181818181818181 22
30 10 2.857142857142857 29
