ordonne nbOccur taux indice
1 1 1.0 3
2 1 1.0 11
3 1 1.0 24
4 1 1.0 26
5 1 1.0 29
6 2 1.7142857142857142 8
7 2 1.7142857142857142 28
8 3 1.6363636363636365 9
9 3 2.25 23
10 3 2.25 25
11 4 2.0 16
12 5 1.875 20
13 5 2.727272727272727 7
14 5 2.727272727272727 10
15 7 2.4705882352941178 22
16 8 3.2 5
17 8 3.4285714285714284 4
18 8 3.4285714285714284 21
19 10 3.75 2
20 10 3.75 19
21 10 4.0 27
22 11 3.8823529411764706 1
23 12 4.235294117647059 6
24 14 5.6 14
25 16 5.647058823529412 15
26 19 6.705882352941177 12
27 20 6.315789473684211 17
28 20 6.315789473684211 18
29 21 6.631578947368421 0
30 25 8.823529411764707 13
