ordre id_c id_t nb_occurrence taux_recouvrement recouvrement certificat
6 143 55 1 1.0 '00000100001101100100 '0000000000000024000000000000002000000000000000c8000000000000000400000000000000200000000000000090
6 146 56 1 1.0 '00000010011010000011 '0000000000000004000000000000002c00000000000000400000000000000004000000000000004000000000000000d0
6 147 57 1 1.0 '00000010010010110010 '000000000000000c00000000000000040000000000000008000000000000000800000000000000b000000000000000c0
6 149 58 1 1.0 '00000010010010011010 '000000000000000c00000000000000040000000000000018000000000000002000000000000000a000000000000000c0
6 150 59 1 1.0 '00000010001010110010 '000000000000004c000000000000008000000000000000040000000000000004000000000000008000000000000000b0
6 152 60 1 1.0 '00000010001010011010 '000000000000004c000000000000008000000000000000140000000000000020000000000000008000000000000000a0
6 5 61 2 1.0 '11111111111100000000 '0000000000000030000000000000000c0000000000000088000000000000008400000000000000600000000000000050
6 2 62 2 1.0909090909090908 '11000210101110111000 '000000000000000800000000000000040000000000000018000000000000002400000000000000a00000000000000050
6 78 63 2 1.0909090909090908 '01100120111010011010 '000000000000006000000000000000880000000000000084000000000000000c00000000000000500000000000000030
6 88 64 2 1.0909090909090908 '00111120001110111000 '000000000000000800000000000000040000000000000008000000000000000400000000000000a40000000000000058
6 47 65 2 1.2 '11001010011020121000 '000000000000004000000000000000a40000000000000040000000000000000400000000000000040000000000000058
6 50 66 2 1.2 '11001010100120121000 '000000000000006000000000000000840000000000000080000000000000000400000000000000040000000000000058
6 106 67 2 1.2 '00001211002111010100 '000000000000000400000000000000100000000000000018000000000000006000000000000000240000000000000088
6 0 68 2 1.3333333333333333 '11111020021000000020 '000000000000000800000000000000100000000000000014000000000000006000000000000000840000000000000028
6 10 69 2 1.3333333333333333 '11111020021000000020 '000000000000000800000000000000100000000000000004000000000000004c00000000000000900000000000000030
6 36 70 2 1.3333333333333333 '10011021021100000020 '000000000000006000000000000000880000000000000080000000000000000400000000000000440000000000000018
6 45 71 2 1.3333333333333333 '10101120000020110020 '000000000000004000000000000000840000000000000018000000000000002400000000000000200000000000000050
6 74 72 2 1.3333333333333333 '01100121120100000020 '000000000000006000000000000000880000000000000084000000000000000400000000000000400000000000000030
6 76 73 2 1.3333333333333333 '01101120121000000020 '0000000000000060000000000000008c0000000000000080000000000000000400000000000000400000000000000050
6 85 74 2 1.3333333333333333 '01010120001020110020 '000000000000004000000000000000b00000000000000040000000000000004c00000000000000100000000000000010
6 40 75 2 1.5 '10011020021000000022 '000000000000004000000000000000a00000000000000048000000000000000800000000000000340000000000000008
6 53 76 2 1.5 '10010210002201200000 '000000000000004000000000000000a00000000000000054000000000000002800000000000000100000000000000020
6 66 77 2 1.5 '01101020021000000022 '000000000000004000000000000000880000000000000018000000000000002000000000000000640000000000000008
6 67 78 2 1.5 '02001120000020110020 '0000000000000040000000000000008c0000000000000010000000000000002800000000000000500000000000000040
6 81 79 2 1.5 '01101020021000000022 '000000000000004000000000000000a80000000000000040000000000000000800000000000000540000000000000008
6 120 80 2 1.5 '00001010011020222000 '00000000000000440000000000000080000000000000000c0000000000000004000000000000002000000000000000b0
6 16 81 2 1.7142857142857142 '10210200002200200000 '000000000000000800000000000000100000000000000010000000000000006c00000000000000900000000000000010
6 34 82 2 1.7142857142857142 '10102200000020220000 '000000000000004000000000000000840000000000000010000000000000002800000000000000140000000000000048
6 35 83 2 1.7142857142857142 '10012020022000000020 '000000000000004000000000000000a00000000000000044000000000000000c00000000000000100000000000000030
6 55 84 2 1.7142857142857142 '10010200002220200000 '000000000000004000000000000000a00000000000000058000000000000002000000000000000240000000000000008
6 57 85 2 1.7142857142857142 '02201020021000000020 '000000000000000800000000000000100000000000000010000000000000006400000000000000840000000000000018
6 58 86 2 1.7142857142857142 '02200120120000000020 '000000000000000800000000000000300000000000000044000000000000004000000000000000840000000000000028
6 63 87 2 1.7142857142857142 '01102020022000000020 '000000000000004000000000000000a40000000000000040000000000000000c00000000000000100000000000000050
6 71 88 2 1.7142857142857142 '01100220002020200000 '000000000000004000000000000000a80000000000000050000000000000002400000000000000440000000000000018
6 73 89 2 1.7142857142857142 '01100220002000200020 '000000000000004000000000000000a80000000000000050000000000000002400000000000000400000000000000010
6 82 90 2 1.7142857142857142 '02000020020020110020 '000000000000004000000000000000980000000000000010000000000000006000000000000000440000000000000008
6 99 91 2 1.7142857142857142 '00200020020020110020 '000000000000004000000000000000880000000000000018000000000000002400000000000000600000000000000010
6 129 92 2 1.7142857142857142 '00000220002212000010 '000000000000002800000000000000140000000000000090000000000000006000000000000000800000000000000040
6 138 93 2 1.7142857142857142 '00000220002020010021 '000000000000002c000000000000002000000000000000c0000000000000000800000000000000900000000000000080
6 145 94 2 1.7142857142857142 '00000020022020110020 '0000000000000004000000000000002c00000000000000400000000000000008000000000000005000000000000000c0
6 148 95 2 1.7142857142857142 '00000020020020110022 '000000000000000c000000000000000400000000000000040000000000000008000000000000009000000000000000e0
6 151 96 2 1.7142857142857142 '00000020002020110022 '0000000000000040000000000000008c0000000000000008000000000000000400000000000000600000000000000050
6 12 97 3 1.125 '21211101110101111110 '000000000000002000000000000000100000000000000098000000000000006400000000000000200000000000000010
6 27 98 3 1.3846153846153846 '11011311103200011100 '000000000000006000000000000000880000000000000084000000000000000800000000000000500000000000000020
6 68 99 3 1.3846153846153846 '01110321113111100000 '000000000000006000000000000000880000000000000080000000000000000c00000000000000500000000000000010
6 121 100 3 1.3846153846153846 '00001101110131231110 '0000000000000044000000000000008800000000000000140000000000000020000000000000004000000000000000a0
6 131 101 3 1.8 '00000330003311010111 '00000000000000140000000000000020000000000000005000000000000000a000000000000000040000000000000088
6 93 102 3 2.0 '00210330003311000010 '000000000000004000000000000000b00000000000000048000000000000004000000000000000240000000000000008
6 113 103 3 2.0 '00003020121030132000 '000000000000000800000000000000240000000000000040000000000000000400000000000000840000000000000058
6 144 104 3 2.0 '00000201101130333000 '0000000000000044000000000000008000000000000000140000000000000028000000000000001000000000000000a0
6 26 105 4 1.6 '11111321122200200022 '000000000000006000000000000000880000000000000080000000000000000800000000000000540000000000000008
6 3 106 4 1.7142857142857142 '11222330102120121000 '000000000000000400000000000000100000000000000008000000000000004400000000000000240000000000000098
6 13 107 4 1.7142857142857142 '11111330102220222000 '0000000000000004000000000000000800000000000000140000000000000020000000000000004400000000000000a8
6 18 108 4 1.7142857142857142 '11111330102220222000 '00000000000000040000000000000008000000000000000c0000000000000004000000000000006000000000000000b0
