ordonne nbOccur taux indice
1 1 1.0 14
2 1 1.0 18
3 1 1.0 22
4 1 1.0 23
5 1 1.0 25
6 1 1.0 26
7 1 1.0 31
8 1 1.0 33
9 1 1.0 35
10 1 1.0 36
11 1 1.0 37
12 1 1.0 38
13 1 1.0 39
14 1 1.0 41
15 2 1.1111111111111112 20
16 2 1.25 29
17 2 1.4285714285714286 8
18 2 1.4285714285714286 15
19 2 1.4285714285714286 17
20 2 1.6666666666666667 19
21 2 1.6666666666666667 27
22 2 1.6666666666666667 40
23 3 1.5 34
24 3 2.142857142857143 32
25 3 2.142857142857143 42
26 4 1.4285714285714286 3
27 4 1.4285714285714286 16
28 5 1.9230769230769231 13
29 5 2.0833333333333335 28
30 7 2.5 24
31 7 2.5 30
32 8 2.5 9
33 8 2.857142857142857 2
34 9 2.3684210526315788 6
35 9 2.3684210526315788 7
36 10 2.6315789473684212 1
37 10 2.6315789473684212 11
38 11 2.75 10
39 11 3.6666666666666665 21
40 12 3.75 0
41 17 4.25 5
42 22 5.5 4
43 23 5.75 12
