ordre id_c id_t nb_occurrence taux_recouvrement recouvrement certificat
4 4 0 4 1.3333333333333333 '0000011101212210211 '00000000000000100000000000000010000000000000001000000000000000e0
4 3 1 8 1.8823529411764706 '1142152114311201110 '000000000000004000000000000000b000000000000000400000000000000040
4 1 2 12 3.2 '3054471465401101110 '0000000000000060000000000000009000000000000000800000000000000040
4 2 3 17 3.7777777777777777 '5345185226644410431 '000000000000004000000000000000a000000000000000500000000000000020
4 0 4 26 5.473684210526316 '2132213754997107221063 '0000000000000020000000000000001000000000000000900000000000000060
5 9 0 1 1.0 '0010010001100100000 '000000000000004000000000000000b8000000000000004000000000000000400000000000000040
5 11 1 1 1.0 '0000011001010100000 '00000000000000600000000000000090000000000000008800000000000000480000000000000030
5 8 2 5 1.6666666666666667 '2102021102312310211 '000000000000004000000000000000a0000000000000005800000000000000200000000000000020
5 5 3 7 2.3333333333333335 '1042261244301201110 '00000000000000600000000000000080000000000000009800000000000000200000000000000020
5 0 4 7 3.1818181818181817 '4163351243300000000 '00000000000000080000000000000030000000000000004000000000000000480000000000000090
5 1 5 9 3.2142857142857144 '4275173016411200010 '00000000000000080000000000000010000000000000001000000000000000680000000000000090
5 3 6 12 4.0 '2064592486401202230 '00000000000000600000000000000090000000000000008800000000000000400000000000000020
5 10 7 12 4.285714285714286 '0000053514738521754 '000000000000000800000000000000080000000000000010000000000000002800000000000000d0
5 4 8 14 4.375 '5045582557724300431 '00000000000000600000000000000088000000000000008000000000000000080000000000000050
5 7 9 19 5.0 '437511482111967712421 '000000000000004000000000000000b0000000000000004800000000000000400000000000000020
5 2 10 22 5.7894736842105265 '11112155558146136331164 '00000000000000100000000000000008000000000000001800000000000000a00000000000000060
5 6 11 22 6.111111111111111 '53771128548988720952 '000000000000004000000000000000a0000000000000005000000000000000280000000000000010
6 3 0 1 1.0 '1010110010100000000 '0000000000000030000000000000000c0000000000000088000000000000008400000000000000600000000000000050
6 11 1 1 1.0 '1001010001100100000 '000000000000000800000000000000040000000000000010000000000000002c00000000000000900000000000000050
6 24 2 1 1.0 '0011010111000000000 '000000000000002800000000000000140000000000000080000000000000004000000000000000840000000000000048
6 26 3 1 1.0 '0010010011100100000 '00000000000000600000000000000080000000000000009c000000000000002000000000000000200000000000000020
6 29 4 1 1.0 '0000000100101000111 '000000000000000800000000000000040000000000000004000000000000000800000000000000940000000000000068
6 8 5 2 1.7142857142857142 '1021020002200200000 '0000000000000004000000000000000800000000000000040000000000000004000000000000004400000000000000b8
6 28 6 2 1.7142857142857142 '0000022002120210000 '00000000000000040000000000000014000000000000000c0000000000000048000000000000003000000000000000e0
6 9 7 3 1.6363636363636365 '2112131113200000000 '000000000000000c00000000000000100000000000000018000000000000006000000000000000a00000000000000080
6 23 8 3 2.25 '0111033003030300000 '000000000000004000000000000000b00000000000000048000000000000004400000000000000240000000000000018
6 25 9 3 2.25 '0030031003311300000 '000000000000004000000000000000b80000000000000044000000000000004000000000000000400000000000000020
6 16 10 4 2.0 '2002220203302200211 '000000000000006000000000000000840000000000000080000000000000000400000000000000040000000000000058
6 20 11 5 1.875 '2102032103313311211 '000000000000004000000000000000b00000000000000040000000000000004c00000000000000100000000000000010
6 7 12 5 2.727272727272727 '2143053004312200000 '000000000000000800000000000000040000000000000008000000000000000400000000000000a40000000000000058
6 10 13 5 2.727272727272727 '2332054005311100000 '00000000000000040000000000000008000000000000000c0000000000000004000000000000006000000000000000b0
6 22 14 7 2.4705882352941178 '1132033312424320422 '000000000000004000000000000000a00000000000000050000000000000002c00000000000000100000000000000010
6 5 15 8 3.2 '4174362335511200010 '0000000000000010000000000000000c000000000000001000000000000000a800000000000000500000000000000040
6 4 16 8 3.4285714285714284 '4174282255401200010 '00000000000000140000000000000008000000000000001000000000000000a800000000000000500000000000000080
6 21 17 8 3.4285714285714284 '4121083005736310202 '000000000000004000000000000000b00000000000000048000000000000004400000000000000200000000000000010
6 2 18 10 3.75 '4286472467201102220 '00000000000000140000000000000008000000000000001000000000000000a000000000000000440000000000000088
6 19 19 10 3.75 '4105052414736510543 '000000000000004000000000000000a00000000000000058000000000000002400000000000000200000000000000010
6 27 20 10 4.0 '0000171324928521735 '000000000000000400000000000000040000000000000008000000000000000c000000000000003000000000000000d0
6 1 21 11 3.8823529411764706 '1122062634719203764 '000000000000000400000000000000100000000000000008000000000000004400000000000000240000000000000098
6 6 22 12 4.235294117647059 '5487196018653410211 '0000000000000004000000000000000800000000000000140000000000000020000000000000004400000000000000a8
6 14 23 14 5.6 '109471334109601503360 '000000000000006000000000000000840000000000000098000000000000002000000000000000200000000000000040
6 15 24 16 5.647058823529412 '407551455710937602421 '0000000000000060000000000000008c0000000000000080000000000000000800000000000000500000000000000040
6 12 25 19 6.705882352941177 '50775115999978520952 '000000000000006000000000000000840000000000000080000000000000000c00000000000000100000000000000050
6 17 26 20 6.315789473684211 '72653125676136114321282 '000000000000004000000000000000a00000000000000050000000000000002800000000000000140000000000000008
6 18 27 20 6.315789473684211 '41105215653814712633943 '000000000000004000000000000000b00000000000000044000000000000004000000000000000040000000000000028
6 0 28 21 6.631578947368421 '22223167657177167221373 '000000000000000800000000000000040000000000000018000000000000002400000000000000a00000000000000050
6 13 29 25 8.823529411764707 '609109186101514114760311101 '000000000000006000000000000000840000000000000088000000000000000800000000000000300000000000000040
