ordre id_c id_t nb_occurrence taux_recouvrement recouvrement certificat
5 12 0 1 1.0 '01100110001000000000 '00000000000000100000000000000008000000000000001800000000000000a00000000000000060
5 13 1 1 1.0 '01100010010000000010 '00000000000000200000000000000010000000000000008800000000000000480000000000000030
5 18 2 1 1.0 '01000010010010000010 '00000000000000400000000000000098000000000000001000000000000000600000000000000040
5 20 3 1 1.0 '01000010001010000010 '000000000000004000000000000000b8000000000000004000000000000000400000000000000040
5 22 4 1 1.0 '00100010010010000010 '00000000000000400000000000000090000000000000001800000000000000600000000000000020
5 23 5 1 1.0 '00001010011000000010 '000000000000002800000000000000180000000000000080000000000000004000000000000000c0
5 25 6 1 1.0 '00001010010010000010 '000000000000001800000000000000280000000000000040000000000000008000000000000000c0
5 26 7 1 1.0 '00001010010000010010 '000000000000000800000000000000280000000000000050000000000000002000000000000000c0
5 31 8 1 1.0 '00000110011000000010 '000000000000000800000000000000180000000000000010000000000000006000000000000000c0
5 33 9 1 1.0 '00000110001010000010 '0000000000000020000000000000003800000000000000c000000000000000400000000000000040
5 34 10 1 1.0 '00000011010000000110 '000000000000000800000000000000080000000000000010000000000000002800000000000000d0
5 35 11 1 1.0 '00000010011010000010 '000000000000000800000000000000380000000000000040000000000000004000000000000000c0
5 37 12 1 1.0 '00000010010010000110 '000000000000001800000000000000080000000000000008000000000000008000000000000000e0
5 28 13 2 1.25 '00001010011020121000 '000000000000004800000000000000800000000000000018000000000000002000000000000000a0
5 29 14 2 1.25 '00001010011020121000 '000000000000004800000000000000800000000000000008000000000000000800000000000000b0
5 2 15 2 1.4285714285714286 '10011020021000000020 '000000000000004000000000000000a0000000000000004800000000000000080000000000000030
5 15 16 2 1.4285714285714286 '01101020021000000020 '00000000000000400000000000000088000000000000001800000000000000200000000000000060
5 17 17 2 1.4285714285714286 '01101020021000000020 '000000000000004000000000000000a8000000000000004000000000000000080000000000000050
5 19 18 2 1.6666666666666667 '01100020020000000220 '00000000000000400000000000000090000000000000001000000000000000680000000000000010
5 27 19 2 1.6666666666666667 '00001020021000000220 '000000000000000800000000000000280000000000000040000000000000000800000000000000d0
5 36 20 2 1.6666666666666667 '00000020020020110020 '00000000000000180000000000000008000000000000001000000000000000a000000000000000c0
5 11 21 3 1.3636363636363635 '11011020001030121010 '000000000000004000000000000000a0000000000000005800000000000000200000000000000020
5 16 22 3 1.3636363636363635 '01010131101020110020 '00000000000000600000000000000080000000000000009800000000000000200000000000000020
5 32 23 3 1.875 '00000330003020110110 '0000000000000028000000000000002000000000000000c000000000000000080000000000000090
5 30 24 3 2.142857142857143 '00003000030010031130 '00000000000000480000000000000090000000000000001000000000000000600000000000000080
5 38 25 3 2.142857142857143 '00000030003030110130 '00000000000000580000000000000080000000000000001000000000000000a00000000000000080
5 8 26 4 1.8181818181818181 '12102220022010020030 '000000000000004000000000000000a8000000000000005000000000000000200000000000000040
5 14 27 4 1.8181818181818181 '01122240002020121000 '00000000000000080000000000000010000000000000001000000000000000680000000000000090
5 5 28 5 1.5625 '12112121323110010120 '00000000000000600000000000000098000000000000008000000000000000400000000000000040
5 6 29 5 1.5625 '11122133122110010120 '00000000000000600000000000000090000000000000008000000000000000480000000000000010
5 1 30 5 1.7857142857142858 '23232021122010010120 '00000000000000100000000000000020000000000000005800000000000000a00000000000000020
5 3 31 6 2.5 '12122044020020020440 '00000000000000400000000000000088000000000000001000000000000000280000000000000050
5 24 32 6 3.0 '00003044232020020440 '00000000000000100000000000000028000000000000004000000000000000880000000000000050
5 7 33 7 2.1875 '23113031133030131330 '000000000000004000000000000000b0000000000000004000000000000000480000000000000010
5 21 34 7 2.9166666666666665 '03021260002060332140 '000000000000004000000000000000b0000000000000004800000000000000400000000000000020
5 0 35 10 3.125 '24463355335120010120 '00000000000000080000000000000030000000000000004000000000000000480000000000000090
5 9 36 11 3.235294117647059 '22434261135060252340 '000000000000004000000000000000a0000000000000005000000000000000280000000000000010
5 10 37 13 3.25 '35313481543341142361 '00000000000000600000000000000088000000000000008000000000000000080000000000000050
5 4 38 13 3.611111111111111 '23243477537232120440 '00000000000000600000000000000090000000000000008800000000000000400000000000000020
