ordonne nbOccur taux indice
1 2 1.5555555555555556 210
2 2 1.75 212
3 2 1.5555555555555556 215
4 2 1.2727272727272727 216
5 2 1.4 220
6 2 1.4 222
7 2 1.4 226
8 2 1.2727272727272727 233
9 2 1.4 234
10 2 1.1666666666666667 235
11 2 1.5555555555555556 247
12 2 1.2727272727272727 251
13 2 1.4 255
14 2 1.1666666666666667 257
15 2 1.2727272727272727 260
16 2 1.75 265
17 2 1.75 267
18 2 1.4 270
19 2 1.1666666666666667 271
20 2 1.75 274
21 2 1.2727272727272727 287
22 2 1.4 291
23 2 1.75 295
24 2 1.4 298
25 2 1.5555555555555556 308
26 2 1.0 310
27 2 1.4 313
28 2 1.5555555555555556 317
29 2 1.1666666666666667 318
30 2 1.4 324
31 2 1.5555555555555556 325
32 2 1.75 329
33 2 1.2727272727272727 331
34 2 1.4 333
35 2 1.4 346
36 2 1.75 349
37 2 1.5555555555555556 350
38 2 1.4 352
39 2 1.4 355
40 2 1.1666666666666667 357
41 2 1.4 359
42 2 1.1666666666666667 376
43 2 1.75 378
44 2 1.5555555555555556 381
45 2 1.75 386
46 2 1.5555555555555556 389
47 2 1.5555555555555556 391
48 2 1.75 392
49 2 1.75 399
50 2 1.75 405
51 2 1.75 407
52 2 1.75 416
53 2 1.1666666666666667 417
54 2 1.5555555555555556 420
55 2 1.75 423
56 2 1.75 430
57 2 1.5555555555555556 432
58 2 1.4 433
59 2 1.5555555555555556 437
60 2 1.2727272727272727 438
61 2 1.75 453
62 2 1.75 457
63 2 1.2727272727272727 458
64 2 1.2727272727272727 460
65 2 1.2727272727272727 461
66 2 1.4 462
67 2 1.75 465
68 2 1.2727272727272727 469
69 2 1.4 470
70 2 1.4 473
71 2 1.75 478
72 2 1.75 480
73 2 1.75 483
74 2 1.75 486
75 2 1.75 493
76 2 1.75 495
77 2 1.75 503
78 2 1.1666666666666667 512
79 2 1.1666666666666667 513
80 2 1.1666666666666667 514
81 2 1.4 526
82 2 1.1666666666666667 546
83 2 1.1666666666666667 552
84 2 1.75 556
85 2 1.75 559
86 2 1.4 561
87 2 1.75 589
88 2 1.75 592
89 2 1.1666666666666667 595
90 2 1.4 600
91 2 1.4 604
92 2 1.75 615
93 2 1.4 624
94 2 1.1666666666666667 625
95 2 1.75 650
96 2 1.4 667
97 2 1.75 672
98 3 2.3333333333333335 223
99 3 1.4 232
100 3 1.75 236
101 3 1.6153846153846154 237
102 3 1.6153846153846154 238
103 3 1.5 248
104 3 1.4 259
105 3 1.9090909090909092 261
106 3 1.9090909090909092 262
107 3 1.5 269
108 3 1.5 275
109 3 1.3125 277
110 3 1.9090909090909092 278
111 3 1.9090909090909092 279
112 3 1.5 281
113 3 1.5 284
114 3 1.9090909090909092 289
115 3 1.5 299
116 3 2.1 307
117 3 1.9090909090909092 309
118 3 1.5 312
119 3 1.9090909090909092 336
120 3 1.9090909090909092 342
121 3 2.1 356
122 3 1.3125 360
123 3 1.3125 380
124 3 1.6153846153846154 402
125 3 1.75 408
126 3 2.3333333333333335 413
127 3 1.5 434
128 3 2.3333333333333335 464
129 3 2.3333333333333335 474
130 3 1.75 490
131 3 1.9090909090909092 491
132 3 1.4 492
133 3 1.5 496
134 3 2.3333333333333335 498
135 3 1.75 500
136 3 1.9090909090909092 519
137 3 1.75 537
138 3 1.75 540
139 3 1.5 549
140 3 1.9090909090909092 562
141 3 2.1 582
142 3 2.3333333333333335 587
143 3 1.5 605
144 3 1.9090909090909092 607
145 3 2.1 609
146 3 1.5 630
147 3 2.3333333333333335 662
148 4 2.0 211
149 4 2.5454545454545454 221
150 4 2.0 228
151 4 1.6470588235294117 229
152 4 2.3333333333333335 230
153 4 1.8666666666666667 246
154 4 2.0 249
155 4 2.0 264
156 4 2.3333333333333335 266
157 4 1.8666666666666667 273
158 4 2.0 288
159 4 1.8666666666666667 297
160 4 1.75 300
161 4 1.8666666666666667 334
162 4 2.0 343
163 4 2.5454545454545454 347
164 4 1.6470588235294117 364
165 4 3.111111111111111 367
166 4 1.8666666666666667 374
167 4 2.1538461538461537 401
168 4 2.3333333333333335 488
169 4 1.8666666666666667 494
170 4 2.0 510
171 4 2.1538461538461537 524
172 4 3.111111111111111 535
173 4 2.1538461538461537 550
174 4 2.8 645
175 5 2.1875 227
176 5 2.1875 256
177 5 2.0588235294117645 272
178 5 2.0588235294117645 285
179 5 2.1875 292
180 5 2.0588235294117645 304
181 5 2.0588235294117645 306
182 5 2.3333333333333335 345
183 5 2.0588235294117645 353
184 5 1.9444444444444444 354
185 5 1.9444444444444444 373
186 5 2.3333333333333335 471
187 5 2.3333333333333335 626
188 6 2.3333333333333335 244
189 6 2.4705882352941178 250
190 6 2.4705882352941178 319
191 6 2.625 326
192 6 2.625 341
193 6 2.625 456
194 7 2.7222222222222223 217
195 7 2.7222222222222223 225
196 7 2.7222222222222223 252
197 7 2.7222222222222223 258
198 7 2.7222222222222223 293
199 7 2.7222222222222223 296
200 7 2.45 315
201 7 2.45 320
202 7 2.7222222222222223 369
203 8 3.111111111111111 214
204 8 2.9473684210526314 239
205 8 3.111111111111111 294
206 8 3.111111111111111 303
207 9 3.5 242
208 9 3.5 243
209 9 3.3157894736842106 311
210 9 3.3157894736842106 316
211 9 3.3157894736842106 321
212 9 3.15 322
213 9 3.15 358
214 10 3.888888888888889 305
215 11 3.85 241
216 11 3.85 245
217 11 3.85 362
218 12 4.2 240
219 13 4.55 302
220 14 4.9 301
