ordonne nbOccur taux indice
1 2 1.6 132
2 2 1.6 133
3 2 1.6 134
4 2 1.7777777777777777 155
5 2 1.7777777777777777 157
6 2 1.6 160
7 2 1.7777777777777777 161
8 2 1.6 162
9 2 1.7777777777777777 175
10 2 1.7777777777777777 177
11 2 1.4545454545454546 181
12 2 1.1428571428571428 183
13 2 1.6 195
14 2 1.0 198
15 2 1.7777777777777777 201
16 2 1.7777777777777777 202
17 2 1.4545454545454546 203
18 2 1.7777777777777777 204
19 2 1.6 208
20 2 1.7777777777777777 214
21 2 1.6 215
22 2 1.1428571428571428 224
23 2 1.7777777777777777 228
24 2 1.6 253
25 2 1.6 266
26 2 1.7777777777777777 278
27 2 1.7777777777777777 282
28 2 1.6 289
29 2 1.7777777777777777 290
30 2 1.7777777777777777 297
31 2 1.7777777777777777 306
32 2 1.6 307
33 2 1.7777777777777777 311
34 2 1.7777777777777777 312
35 2 1.4545454545454546 318
36 2 1.7777777777777777 322
37 2 1.7777777777777777 331
38 3 1.6 136
39 3 1.5 144
40 3 1.8461538461538463 151
41 3 1.8461538461538463 165
42 3 2.0 186
43 3 1.6 187
44 3 2.4 192
45 3 1.7142857142857142 194
46 3 2.4 197
47 3 1.6 206
48 3 1.8461538461538463 207
49 3 2.4 209
50 3 2.1818181818181817 212
51 3 1.8461538461538463 213
52 3 2.4 230
53 3 1.6 238
54 3 1.8461538461538463 254
55 3 2.4 268
56 3 2.1818181818181817 269
57 3 2.4 277
58 3 1.8461538461538463 285
59 3 2.4 288
60 3 2.1818181818181817 291
61 3 2.1818181818181817 313
62 3 2.0 320
63 3 2.4 327
64 3 2.1818181818181817 328
65 4 2.0 140
66 4 2.0 142
67 4 2.0 143
68 4 2.0 147
69 4 2.0 148
70 4 1.8823529411764706 149
71 4 2.4615384615384617 156
72 4 2.2857142857142856 163
73 4 2.6666666666666665 173
74 4 1.8823529411764706 184
75 4 2.909090909090909 189
76 4 2.6666666666666665 200
77 4 2.1333333333333333 205
78 4 2.1333333333333333 216
79 4 1.7777777777777777 218
80 4 2.2857142857142856 221
81 4 1.7777777777777777 225
82 4 2.2857142857142856 246
83 4 3.5555555555555554 249
84 4 2.4615384615384617 250
85 4 2.2857142857142856 251
86 4 2.6666666666666665 252
87 4 2.6666666666666665 261
88 4 2.1333333333333333 279
89 4 2.4615384615384617 283
90 4 2.4615384615384617 301
91 4 2.909090909090909 332
92 5 2.6666666666666665 146
93 5 3.076923076923077 158
94 5 3.076923076923077 159
95 5 2.857142857142857 167
96 5 2.6666666666666665 178
97 5 3.076923076923077 219
98 5 2.5 248
99 5 2.3529411764705883 262
100 5 2.857142857142857 264
101 5 3.6363636363636362 310
102 6 2.823529411764706 141
103 6 2.6666666666666665 242
104 6 3.2 243
105 6 3.2 247
106 6 3.4285714285714284 280
107 6 3.6923076923076925 286
108 6 3.6923076923076925 287
109 6 4.363636363636363 299
110 6 3.4285714285714284 316
111 7 3.5 169
112 7 3.111111111111111 185
113 7 3.2941176470588234 188
114 7 3.5 211
115 7 3.2941176470588234 257
116 7 3.2941176470588234 265
117 7 4.0 324
118 8 4.0 139
119 8 3.764705882352941 171
120 8 3.5555555555555554 193
121 8 4.0 239
122 8 5.333333333333333 260
123 8 3.764705882352941 303
124 9 4.235294117647059 172
125 9 4.5 182
126 9 5.142857142857143 329
127 10 4.444444444444445 168
128 10 5.0 170
129 10 4.2105263157894735 199
130 10 4.705882352941177 244
131 10 5.333333333333333 263
132 11 5.5 190
133 11 5.5 234
134 11 4.888888888888889 236
135 11 5.866666666666666 255
136 12 5.333333333333333 174
137 12 5.647058823529412 196
138 13 6.117647058823529 302
139 13 7.428571428571429 326
140 14 6.588235294117647 179
141 14 7.466666666666667 300
142 14 7.466666666666667 325
143 17 8.0 240
144 18 8.0 232
145 18 8.0 258
146 19 8.941176470588236 245
147 23 10.823529411764707 235
148 30 13.333333333333334 233
