ordonne nbOccur taux indice
1 2 1.4285714285714286 22
2 2 1.4285714285714286 29
3 2 1.4285714285714286 31
4 2 1.6666666666666667 33
5 2 1.1111111111111112 34
6 2 1.6666666666666667 41
7 2 1.25 43
8 2 1.6666666666666667 54
9 3 2.142857142857143 46
10 3 1.5 48
11 3 2.142857142857143 56
12 4 1.4285714285714286 17
13 4 1.4285714285714286 30
14 5 1.9230769230769231 27
15 5 2.0833333333333335 42
16 7 2.5 38
17 7 2.5 44
18 8 2.857142857142857 16
19 8 2.5 23
20 9 2.3684210526315788 20
21 9 2.3684210526315788 21
22 10 2.6315789473684212 15
23 10 2.6315789473684212 25
24 11 2.75 24
25 11 3.6666666666666665 35
26 12 3.75 14
27 17 4.25 19
28 22 5.5 18
29 23 5.75 26
