ordonne nbOccur taux indice
1 2 1.75 50
2 2 1.4 58
3 2 1.5555555555555556 67
4 2 1.75 72
5 2 1.5555555555555556 73
6 2 1.75 79
7 2 1.4 81
8 2 1.75 82
9 2 1.75 106
10 2 1.75 109
11 2 1.5555555555555556 111
12 2 1.75 114
13 2 1.5555555555555556 117
14 2 1.75 119
15 2 1.75 128
16 3 1.9090909090909092 56
17 3 1.5 74
18 3 1.6153846153846154 75
19 3 1.75 97
20 3 2.1 110
21 3 2.3333333333333335 113
22 3 2.3333333333333335 116
23 3 2.1 120
24 3 1.75 121
25 3 2.3333333333333335 126
26 4 1.8666666666666667 54
27 4 2.8 62
28 4 2.0 63
29 4 2.8 71
30 4 2.1538461538461537 78
31 4 2.0 92
32 4 3.5 104
33 4 2.8 112
34 4 2.1538461538461537 115
35 5 2.0588235294117645 53
36 5 3.1818181818181817 57
37 5 2.5 77
38 5 2.6923076923076925 80
39 5 2.0588235294117645 94
40 6 2.625 51
41 6 2.8 89
42 6 2.4705882352941178 96
43 6 2.3333333333333335 102
44 7 2.8823529411764706 52
45 7 3.2666666666666666 93
46 8 3.7333333333333334 100
47 8 4.0 123
48 9 4.5 66
49 9 4.2 87
50 9 3.3157894736842106 95
51 9 3.5 103
52 9 3.9375 105
53 10 4.117647058823529 60
54 10 3.888888888888889 61
55 10 4.117647058823529 65
56 10 4.117647058823529 69
57 10 5.0 70
58 10 4.375 90
59 12 5.6 64
60 12 4.666666666666667 68
61 12 4.666666666666667 85
62 12 5.25 91
63 16 7.466666666666667 122
64 17 6.611111111111111 55
65 18 6.631578947368421 98
66 18 7.875 101
67 19 7.388888888888889 86
68 29 11.941176470588236 88
69 30 11.666666666666666 84
