ordonne nbOccur taux indice
1 2 1.5555555555555556 177
2 2 1.5555555555555556 180
3 2 1.2727272727272727 181
4 2 1.4 185
5 2 1.75 186
6 2 1.0769230769230769 189
7 2 1.2727272727272727 190
8 2 1.1666666666666667 193
9 2 1.75 195
10 2 1.75 197
11 2 1.5555555555555556 199
12 2 1.2727272727272727 200
13 2 1.4 204
14 2 1.1666666666666667 208
15 2 1.1666666666666667 209
16 2 1.1666666666666667 214
17 2 1.5555555555555556 216
18 2 1.75 220
19 2 1.4 226
20 2 1.4 228
21 2 1.4 234
22 2 1.4 235
23 2 1.4 238
24 2 1.4 239
25 2 1.75 241
26 2 1.75 248
27 2 1.1666666666666667 249
28 2 1.1666666666666667 250
29 2 1.75 263
30 2 1.4 264
31 2 1.75 266
32 2 1.75 267
33 2 1.5555555555555556 268
34 2 1.5555555555555556 269
35 2 1.75 274
36 2 1.75 277
37 2 1.75 281
38 2 1.75 288
39 2 1.75 291
40 2 1.75 292
41 2 1.75 293
42 2 1.75 300
43 2 1.75 301
44 2 1.4 307
45 2 1.5555555555555556 310
46 2 1.75 317
47 2 1.5555555555555556 323
48 2 1.75 327
49 2 1.2727272727272727 328
50 2 1.75 341
51 2 1.75 343
52 2 1.75 345
53 2 1.4 350
54 2 1.75 351
55 2 1.75 355
56 2 1.75 356
57 2 1.75 359
58 2 1.75 362
59 2 1.1666666666666667 367
60 2 1.4 369
61 2 1.0769230769230769 370
62 2 1.75 372
63 2 1.4 382
64 2 1.1666666666666667 385
65 2 1.1666666666666667 386
66 2 1.4 389
67 2 1.4 391
68 2 1.75 401
69 2 1.75 404
70 2 1.75 410
71 2 1.75 413
72 2 1.4 415
73 2 1.75 422
74 2 1.75 425
75 2 1.75 438
76 2 1.75 440
77 2 1.75 443
78 2 1.2727272727272727 445
79 2 1.5555555555555556 451
80 2 1.75 452
81 2 1.75 456
82 2 1.75 462
83 2 1.75 472
84 2 1.75 477
85 2 1.75 481
86 2 1.75 484
87 2 1.75 486
88 2 1.75 489
89 3 1.75 187
90 3 1.4 188
91 3 2.1 191
92 3 1.75 194
93 3 1.4 206
94 3 2.3333333333333335 210
95 3 2.1 244
96 3 1.5 246
97 3 1.9090909090909092 251
98 3 1.5 254
99 3 1.4 255
100 3 1.9090909090909092 256
101 3 2.1 282
102 3 2.1 295
103 3 2.3333333333333335 298
104 3 2.3333333333333335 305
105 3 1.5 309
106 3 2.1 311
107 3 2.3333333333333335 326
108 3 2.1 330
109 3 2.3333333333333335 335
110 3 2.3333333333333335 353
111 3 2.1 375
112 3 2.3333333333333335 470
113 4 1.75 179
114 4 2.0 182
115 4 2.0 201
116 4 2.0 212
117 4 2.0 217
118 4 1.75 221
119 4 1.75 233
120 4 2.0 245
121 4 2.0 257
122 4 3.111111111111111 260
123 4 1.8666666666666667 340
124 4 2.1538461538461537 383
125 5 2.0588235294117645 196
126 5 1.8421052631578947 207
127 5 2.9166666666666665 364
128 5 2.6923076923076925 397
129 7 2.7222222222222223 198
