ordonne nbOccur taux indice
1 2 1.75 92
2 2 1.4 98
3 2 1.4 100
4 2 1.75 105
5 2 1.5555555555555556 117
6 2 1.75 123
7 2 1.75 128
8 2 1.75 129
9 2 1.75 130
10 2 1.75 131
11 2 1.75 133
12 2 1.75 142
13 2 1.75 143
14 2 1.4 145
15 2 1.75 147
16 2 1.0769230769230769 153
17 2 1.75 155
18 2 1.75 174
19 2 1.75 185
20 2 1.0 188
21 2 1.5555555555555556 192
22 2 1.5555555555555556 197
23 2 1.75 199
24 2 1.4 207
25 2 1.75 209
26 3 2.3333333333333335 97
27 3 2.3333333333333335 108
28 3 2.1 120
29 3 2.3333333333333335 124
30 3 2.3333333333333335 151
31 3 2.3333333333333335 170
32 3 1.75 172
33 3 1.75 186
34 3 2.1 202
35 4 2.8 91
36 4 2.5454545454545454 96
37 4 3.111111111111111 99
38 4 2.5454545454545454 106
39 4 3.111111111111111 109
40 4 2.8 115
41 4 3.5 119
42 4 2.3333333333333335 146
43 4 2.0 158
44 4 2.1538461538461537 178
45 4 3.111111111111111 198
46 4 3.5 208
47 4 2.8 210
48 5 2.5 95
49 5 2.5 101
50 5 2.9166666666666665 114
51 5 2.9166666666666665 121
52 5 2.9166666666666665 141
53 5 3.1818181818181817 182
54 5 2.3333333333333335 189
55 6 4.2 118
56 6 3.8181818181818183 132
57 6 2.4705882352941178 162
58 6 4.2 203
59 7 2.8823529411764706 161
60 7 3.2666666666666666 173
61 7 3.2666666666666666 177
62 7 3.2666666666666666 183
63 7 3.769230769230769 216
64 8 5.6 94
65 8 4.666666666666667 116
66 8 3.5 160
67 8 3.2941176470588234 164
68 9 4.2 149
69 9 4.2 150
70 9 3.9375 190
71 10 4.117647058823529 154
72 10 5.384615384615385 167
73 10 4.666666666666667 215
74 11 4.8125 169
75 11 4.8125 184
76 11 5.5 187
77 11 5.133333333333334 214
78 13 6.066666666666666 191
79 15 5.833333333333333 159
80 19 8.3125 168
81 20 8.235294117647058 166
82 25 9.722222222222221 148
