ordre identifiant nombre_occurrence taux_recouvrement recouvrement certificat
3 0 22 3.3 '34345274244242141451 '000000000000004000000000000000a00000000000000040
3 1 10 1.875 '11113142233120010130 '000000000000006000000000000000800000000000000080
3 2 4 1.3333333333333333 '00000120011020121010 '0000000000000020000000000000002000000000000000c0
4 3 8 1.8823529411764706 '12232133122020121220 '0000000000000020000000000000001000000000000000900000000000000060
4 4 18 4.0 '34345485556341130260 '0000000000000060000000000000009000000000000000800000000000000040
4 5 10 2.3529411764705883 '13123161124050131140 '000000000000004000000000000000b000000000000000400000000000000040
4 6 17 3.4 '45335282134161262451 '000000000000004000000000000000a000000000000000500000000000000020
4 7 2 1.6 '01100020020000000020 '0000000000000040000000000000009000000000000000100000000000000060
4 8 2 1.6 '00001020021000000020 '00000000000000100000000000000030000000000000004000000000000000c0
4 9 7 2.3333333333333335 '00003031133030131330 '00000000000000500000000000000080000000000000001000000000000000a0
4 10 2 1.6 '00000220002010000010 '0000000000000030000000000000002000000000000000c00000000000000080
5 13 10 3.125 '24463355335120010120 '00000000000000080000000000000030000000000000004000000000000000480000000000000090
5 14 5 1.7857142857142858 '23232021122010010120 '00000000000000100000000000000020000000000000005800000000000000a00000000000000020
5 15 2 1.4285714285714286 '10011020021000000020 '000000000000004000000000000000a0000000000000004800000000000000080000000000000030
5 16 6 2.5 '12122044020020020440 '00000000000000400000000000000088000000000000001000000000000000280000000000000050
5 17 13 3.611111111111111 '23243477537232120440 '00000000000000600000000000000090000000000000008800000000000000400000000000000020
5 18 5 1.5625 '12112121323110010120 '00000000000000600000000000000098000000000000008000000000000000400000000000000040
5 19 5 1.5625 '11122133122110010120 '00000000000000600000000000000090000000000000008000000000000000480000000000000010
5 20 7 2.1875 '23113031133030131330 '000000000000004000000000000000b0000000000000004000000000000000480000000000000010
5 21 4 1.8181818181818181 '12102220022010020030 '000000000000004000000000000000a8000000000000005000000000000000200000000000000040
5 22 11 3.235294117647059 '22434261135060252340 '000000000000004000000000000000a0000000000000005000000000000000280000000000000010
5 23 13 3.25 '35313481543341142361 '00000000000000600000000000000088000000000000008000000000000000080000000000000050
5 24 3 1.3636363636363635 '11011020001030121010 '000000000000004000000000000000a0000000000000005800000000000000200000000000000020
5 27 4 1.8181818181818181 '01122240002020121000 '00000000000000080000000000000010000000000000001000000000000000680000000000000090
5 28 2 1.4285714285714286 '01101020021000000020 '00000000000000400000000000000088000000000000001800000000000000200000000000000060
5 29 3 1.3636363636363635 '01010131101020110020 '00000000000000600000000000000080000000000000009800000000000000200000000000000020
5 30 2 1.4285714285714286 '01101020021000000020 '000000000000004000000000000000a8000000000000004000000000000000080000000000000050
5 32 2 1.6666666666666667 '01100020020000000220 '00000000000000400000000000000090000000000000001000000000000000680000000000000010
5 34 7 2.9166666666666665 '03021260002060332140 '000000000000004000000000000000b0000000000000004800000000000000400000000000000020
5 37 6 3.0 '00003044232020020440 '00000000000000100000000000000028000000000000004000000000000000880000000000000050
5 40 2 1.6666666666666667 '00001020021000000220 '000000000000000800000000000000280000000000000040000000000000000800000000000000d0
5 41 2 1.25 '00001010011020121000 '000000000000004800000000000000800000000000000018000000000000002000000000000000a0
5 42 2 1.25 '00001010011020121000 '000000000000004800000000000000800000000000000008000000000000000800000000000000b0
5 43 3 2.142857142857143 '00003000030010031130 '00000000000000480000000000000090000000000000001000000000000000600000000000000080
5 45 3 1.875 '00000330003020110110 '0000000000000028000000000000002000000000000000c000000000000000080000000000000090
5 49 2 1.6666666666666667 '00000020020020110020 '00000000000000180000000000000008000000000000001000000000000000a000000000000000c0
5 51 3 2.142857142857143 '00000030003030110130 '00000000000000580000000000000080000000000000001000000000000000a00000000000000080
