ordonne nbOccur taux indice
1 2 1.3333333333333333 57
2 2 1.0909090909090908 59
3 2 1.0 62
4 2 1.3333333333333333 67
5 2 1.7142857142857142 73
6 2 1.7142857142857142 91
7 2 1.7142857142857142 92
8 2 1.3333333333333333 93
9 2 1.5 97
10 2 1.3333333333333333 102
11 2 1.2 104
12 2 1.2 107
13 2 1.5 110
14 2 1.7142857142857142 112
15 2 1.7142857142857142 114
16 2 1.7142857142857142 115
17 2 1.7142857142857142 120
18 2 1.5 123
19 2 1.5 124
20 2 1.7142857142857142 128
21 2 1.7142857142857142 130
22 2 1.3333333333333333 131
23 2 1.3333333333333333 133
24 2 1.0909090909090908 135
25 2 1.5 138
26 2 1.7142857142857142 139
27 2 1.3333333333333333 142
28 2 1.0909090909090908 145
29 2 1.7142857142857142 156
30 2 1.2 163
31 2 1.5 177
32 2 1.7142857142857142 186
33 2 1.7142857142857142 195
34 2 1.7142857142857142 202
35 2 1.7142857142857142 205
36 2 1.7142857142857142 208
37 3 1.125 69
38 3 1.3846153846153846 84
39 3 1.3846153846153846 125
40 3 2.0 150
41 3 2.0 170
42 3 1.3846153846153846 178
43 3 1.8 188
44 3 2.0 201
45 4 1.7142857142857142 60
46 4 1.7142857142857142 70
47 4 2.0 72
48 4 1.7142857142857142 75
49 4 2.0 76
50 4 1.6 83
51 4 2.1818181818181817 100
52 4 2.4 101
53 4 2.1818181818181817 118
54 4 1.7142857142857142 127
55 4 2.1818181818181817 141
56 4 2.0 152
57 4 2.0 168
58 4 1.7142857142857142 180
59 5 1.875 66
60 5 1.875 74
61 5 2.142857142857143 78
62 5 2.0 103
63 5 2.5 108
64 5 2.0 144
65 5 2.5 164
66 5 2.142857142857143 176
67 6 2.25 61
68 6 2.4 71
69 6 2.0 87
70 6 2.0 136
71 6 2.769230769230769 143
72 7 2.3333333333333335 58
73 7 2.3333333333333335 94
74 7 2.4705882352941178 98
75 7 2.3333333333333335 111
76 8 2.6666666666666665 99
77 9 2.8421052631578947 64
78 9 2.8421052631578947 65
79 9 3.176470588235294 88
80 9 3.0 90
81 10 3.1578947368421053 63
82 10 3.0 105
83 10 3.0 106
84 11 3.3 68
85 11 3.473684210526316 80
86 11 3.473684210526316 81
87 11 3.473684210526316 82
88 11 3.3 85
89 11 3.3 89
90 12 3.6 86
91 13 3.9 109
92 15 4.5 79
