ordonne nbOccur taux indice
1 2 1.7142857142857142 36
2 2 1.7142857142857142 42
3 2 1.7142857142857142 43
4 2 1.7142857142857142 44
5 2 1.5 48
6 2 1.5 55
7 2 1.7142857142857142 60
8 2 1.7142857142857142 70
9 2 1.7142857142857142 81
10 2 1.5 82
11 3 2.25 47
12 3 2.25 59
13 3 2.25 68
14 4 2.4 40
15 4 2.4 41
16 4 2.6666666666666665 46
17 4 3.0 49
18 4 1.6 64
19 4 2.0 73
20 4 3.0 83
21 5 3.0 39
22 5 2.5 45
23 5 2.142857142857143 88
24 6 2.4 61
25 6 3.0 67
26 6 2.4 77
27 7 2.8 76
28 7 3.230769230769231 87
29 8 3.2 58
30 8 2.6666666666666665 63
31 8 3.4285714285714284 75
32 9 3.6 57
33 9 3.0 79
34 10 4.0 69
35 14 5.6 89
36 15 5.625 74
37 18 6.352941176470588 62
38 20 7.5 56
39 25 9.375 66
