ordonne nbOccur taux indice
1 2 1.3333333333333333 52
2 2 1.3333333333333333 55
3 2 1.3333333333333333 58
4 2 1.7142857142857142 62
5 2 1.3333333333333333 63
6 2 1.5 67
7 2 1.5 70
8 2 1.5 71
9 2 1.3333333333333333 72
10 2 1.5 78
11 2 1.2 80
12 2 1.2 81
13 2 1.2 86
14 2 1.7142857142857142 89
15 2 1.7142857142857142 90
16 2 1.7142857142857142 91
17 2 1.7142857142857142 92
18 2 1.7142857142857142 97
19 2 1.7142857142857142 100
20 2 1.5 103
21 2 1.5 104
22 2 1.5 112
23 2 1.7142857142857142 113
24 2 1.3333333333333333 114
25 2 1.5 115
26 2 1.5 118
27 2 1.7142857142857142 119
28 2 1.3333333333333333 122
29 2 1.7142857142857142 123
30 2 1.7142857142857142 125
31 2 1.7142857142857142 134
32 2 1.7142857142857142 137
33 2 1.3333333333333333 142
34 2 1.7142857142857142 143
35 2 1.5 147
36 2 1.5 149
37 2 1.5 154
38 2 1.5 157
39 2 1.7142857142857142 160
40 2 1.7142857142857142 169
41 2 1.7142857142857142 172
42 2 1.7142857142857142 175
43 3 1.2857142857142858 76
44 3 2.0 83
45 3 1.5 85
46 3 1.5 95
47 3 1.3846153846153846 96
48 3 2.25 121
49 3 1.5 129
50 3 1.6363636363636365 136
51 3 2.25 164
52 4 1.7142857142857142 68
53 4 1.5 69
54 4 1.7142857142857142 73
55 4 1.7142857142857142 110
56 5 1.875 56
57 5 1.875 57
58 5 1.5789473684210527 77
59 5 1.875 79
60 5 2.5 87
61 5 2.3076923076923075 109
62 5 2.5 124
63 5 2.3076923076923075 128
64 6 2.5714285714285716 53
65 6 2.25 59
66 6 2.5714285714285716 64
67 6 2.5714285714285716 82
68 6 2.0 84
69 7 2.625 54
70 7 2.625 60
71 7 2.3333333333333335 74
72 7 3.5 105
