ordre identifiant nombre_occurrence taux_recouvrement recouvrement certificat
3 0 14 2.4705882352941178 '3254253234311101110 '000000000000004000000000000000a00000000000000040
3 1 3 1.0 '1011110111100000000 '000000000000006000000000000000800000000000000080
3 2 19 3.8 '0000164324556521742 '0000000000000020000000000000002000000000000000c0
4 3 26 5.473684210526316 '2132213754997107221063 '0000000000000020000000000000001000000000000000900000000000000060
4 4 12 3.2 '3054471465401101110 '0000000000000060000000000000009000000000000000800000000000000040
4 5 17 3.7777777777777777 '5345185226644410431 '000000000000004000000000000000a000000000000000500000000000000020
4 6 8 1.8823529411764706 '1142152114311201110 '000000000000004000000000000000b000000000000000400000000000000040
4 7 4 1.3333333333333333 '0000011101212210211 '00000000000000100000000000000010000000000000001000000000000000e0
5 8 7 3.1818181818181817 '4163351243300000000 '00000000000000080000000000000030000000000000004000000000000000480000000000000090
5 9 9 3.2142857142857144 '4275173016411200010 '00000000000000080000000000000010000000000000001000000000000000680000000000000090
5 10 22 5.7894736842105265 '11112155558146136331164 '00000000000000100000000000000008000000000000001800000000000000a00000000000000060
5 11 12 4.0 '2064592486401202230 '00000000000000600000000000000090000000000000008800000000000000400000000000000020
5 12 14 4.375 '5045582557724300431 '00000000000000600000000000000088000000000000008000000000000000080000000000000050
5 13 7 2.3333333333333335 '1042261244301201110 '00000000000000600000000000000080000000000000009800000000000000200000000000000020
5 14 22 6.111111111111111 '53771128548988720952 '000000000000004000000000000000a0000000000000005000000000000000280000000000000010
5 15 19 5.0 '437511482111967712421 '000000000000004000000000000000b0000000000000004800000000000000400000000000000020
5 16 5 1.6666666666666667 '2102021102312310211 '000000000000004000000000000000a0000000000000005800000000000000200000000000000020
5 18 12 4.285714285714286 '0000053514738521754 '000000000000000800000000000000080000000000000010000000000000002800000000000000d0
