ordonne nbOccur taux indice
1 2 1.7142857142857142 28
2 2 1.7142857142857142 48
3 3 1.6363636363636365 29
4 3 2.25 43
5 3 2.25 45
6 4 2.0 36
7 5 2.727272727272727 27
8 5 2.727272727272727 30
9 5 1.875 40
10 7 2.4705882352941178 42
11 8 3.4285714285714284 24
12 8 3.2 25
13 8 3.4285714285714284 41
14 10 3.75 22
15 10 3.75 39
16 10 4.0 47
17 11 3.8823529411764706 21
18 12 4.235294117647059 26
19 14 5.6 34
20 16 5.647058823529412 35
21 19 6.705882352941177 32
22 20 6.315789473684211 37
23 20 6.315789473684211 38
24 21 6.631578947368421 20
25 25 8.823529411764707 33
