ordre identifiant nombre_occurrence taux_recouvrement recouvrement certificat
3 0 16 3.2 '366413023303023030000303000 '000000000000006000000000000000800000000000000080
3 1 13 1.8571428571428572 '064200100211121241121212110 '000000000000004000000000000000a00000000000000040
3 2 17 2.8333333333333335 '000000000212311551146215434 '0000000000000020000000000000002000000000000000c0
4 3 20 4.2105263157894735 '2108220010707015490022626220 '0000000000000060000000000000009000000000000000800000000000000040
4 4 9 2.5714285714285716 '144103013303013030000303000 '0000000000000070000000000000008000000000000000800000000000000080
4 5 2 1.6 '200200000010020001000000000 '00000000000000500000000000000080000000000000001000000000000000a0
4 6 17 4.0 '011000000302302670249317647 '0000000000000020000000000000001000000000000000900000000000000060
4 7 12 2.2857142857142856 '064204026211021241021212110 '0000000000000060000000000000008000000000000000900000000000000020
4 8 6 1.6 '041100000210010131031111200 '000000000000004000000000000000b000000000000000400000000000000040
4 9 11 2.75 '037000100203301530113005222 '000000000000004000000000000000a000000000000000500000000000000020
4 11 3 1.0909090909090908 '000000000101100110011002111 '00000000000000100000000000000010000000000000001000000000000000e0
5 13 2 1.6666666666666667 '200220000010020001000000000 '000000000000004800000000000000a0000000000000004000000000000000080000000000000090
5 14 2 1.6666666666666667 '200200020010020001000000000 '00000000000000680000000000000080000000000000008000000000000000080000000000000090
5 16 2 1.6666666666666667 '022001001200000020000000000 '00000000000000280000000000000010000000000000008000000000000000480000000000000090
5 17 4 2.5 '044000000401001040000101000 '00000000000000080000000000000030000000000000004000000000000000480000000000000090
5 18 2 1.6666666666666667 '022000000200000020010000100 '00000000000000080000000000000010000000000000001000000000000000680000000000000090
5 19 16 4.705882352941177 '0110000002033028701412329859 '00000000000000100000000000000008000000000000001800000000000000a00000000000000060
5 20 18 5.625 '01080080010707005490022626220 '00000000000000700000000000000080000000000000008800000000000000800000000000000020
5 21 13 3.25 '093101014614011371063323500 '00000000000000600000000000000080000000000000009800000000000000200000000000000020
5 22 10 3.125 '037007003203201430013005222 '00000000000000600000000000000080000000000000009000000000000000280000000000000010
5 23 2 1.0 '011001001101001010000101000 '00000000000000780000000000000080000000000000008000000000000000800000000000000080
5 25 11 3.9285714285714284 '074000000505002780021433220 '00000000000000600000000000000090000000000000008800000000000000400000000000000020
5 26 8 3.076923076923077 '044000000504004250001414110 '00000000000000700000000000000088000000000000008000000000000000800000000000000040
5 27 3 2.142857142857143 '030000000100000030030310100 '00000000000000600000000000000098000000000000008800000000000000400000000000000060
5 29 6 2.3076923076923075 '024000000101100420014004213 '000000000000004000000000000000b0000000000000004800000000000000400000000000000020
5 30 18 6.0 '06120000009074068800243011424 '00000000000000600000000000000088000000000000008000000000000000080000000000000050
5 31 10 2.9411764705882355 '035000200203401530414104314 '000000000000004000000000000000a0000000000000005000000000000000280000000000000010
5 32 4 1.5384615384615385 '013000000102200210011003111 '000000000000004000000000000000a0000000000000005800000000000000200000000000000020
5 35 7 2.5 '000000000202201320124105334 '000000000000000800000000000000080000000000000010000000000000002800000000000000d0
