ordonne nbOccur taux indice
0 1 1.0 6
1 1 1.0 9
2 1 1.0 15
3 1 1.0 16
4 1 1.0 19
5 1 1.0 20
6 1 1.0 25
7 1 1.0 26
8 1 1.0 28
9 1 1.0 32
10 1 1.0 33
11 1 1.0 34
12 1 1.0 35
13 1 1.0 36
14 1 1.0 37
15 1 1.0 38
16 1 1.0 39
17 1 1.0 40
18 1 1.0 42
19 1 1.0 43
20 1 1.0 44
21 1 1.0 46
22 1 1.0 47
23 1 1.0 48
24 1 1.0 49
25 1 1.0 50
26 1 1.0 51
27 1 1.0 53
28 1 1.0 54
29 1 1.0 55
30 1 1.0 56
31 1 1.0 57
32 1 1.0 58
33 1 1.0 59
34 1 1.0 61
35 1 1.0 62
36 1 1.0 64
37 1 1.0 65
38 1 1.0 72
39 1 1.0 74
40 1 1.0 79
41 1 1.0 81
42 1 1.0 82
43 1 1.0 83
44 1 1.0 84
45 1 1.0 85
46 1 1.0 86
47 1 1.0 87
48 1 1.0 88
49 1 1.0 89
50 1 1.0 90
51 1 1.0 91
52 1 1.0 92
53 1 1.0 93
54 1 1.0 94
55 1 1.0 95
56 1 1.0 96
57 1 1.0 97
58 1 1.0 98
59 1 1.0 99
60 1 1.0 103
61 1 1.0 105
62 1 1.0 108
63 1 1.0 110
64 1 1.0 111
65 1 1.0 112
66 1 1.0 114
67 1 1.0 117
68 1 1.0 118
69 1 1.0 120
70 2 1.0 60
71 2 1.0 63
72 2 1.0 66
73 2 1.0 68
74 2 1.0 71
75 2 1.1111111640930176 13
76 2 1.1111111640930176 21
77 2 1.1111111640930176 24
78 2 1.1111111640930176 76
79 2 1.1111111640930176 115
80 2 1.25 10
81 2 1.25 29
82 2 1.25 30
83 2 1.25 31
84 2 1.25 109
85 2 1.4285714626312256 1
86 2 1.4285714626312256 4
87 2 1.4285714626312256 17
88 2 1.6666666269302368 5
89 2 1.6666666269302368 8
90 2 1.6666666269302368 41
91 2 1.6666666269302368 45
92 2 1.6666666269302368 52
93 2 1.6666666269302368 80
94 2 1.6666666269302368 100
95 3 1.0 69
96 3 1.0714285373687744 12
97 3 1.0714285373687744 14
98 3 1.0714285373687744 77
99 3 1.1538461446762085 27
100 3 1.25 73
101 3 1.25 78
102 3 1.5 113
103 3 1.5 119
104 3 1.875 18
105 3 1.875 107
106 4 1.6666666269302368 23
107 4 1.6666666269302368 67
108 4 1.6666666269302368 106
109 4 1.8181818723678589 22
110 4 2.0 116
111 4 2.222222328186035 0
112 5 1.470588207244873 7
113 5 1.7857142686843872 11
114 5 1.923076868057251 70
115 5 2.0833332538604736 75
116 6 2.0 101
117 6 2.307692289352417 2
118 6 2.7272727489471436 104
119 7 1.52173912525177 3
120 9 2.8125 102
