ordre id_c id_t nb_occurrence taux_recouvrement recouvrement taux_occupation certificat
4 23 10 1 1.0 '0000100100001000000000000000010000000 '0.10810811072587967 '00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000008080000000000000604000000000000000380000000000008006
4 25 11 1 1.0 '0000100100000000000010000000010000000 '0.10810811072587967 '0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010010000000000008010000000000000000e00000000000020e0
4 26 12 1 1.0 '0000100100000000000001000000010000000 '0.10810811072587967 '0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000020010000000000008010000000000000000e00000000000020e0
4 32 13 1 1.0 '0000000100101100000000000000000000000 '0.10810811072587967 '0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000202000000000000020180000000000002006000000000000c0c1
4 33 14 1 1.0 '0000000100000000000001000100010000000 '0.10810811072587967 '0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100200000000000000e0000000000000d001000000000000081c
4 34 15 1 1.0 '0000000010000100000000001000000000010 '0.10810811072587967 '0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003010000000000000000e000000000000c00100000000000040e0
4 35 16 1 1.0 '0000000010001100000000000000000000010 '0.10810811072587967 '00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000200400000000000020c0000000000000c0030000000000008038
4 36 17 1 1.0 '0000000010000000000000011000000000010 '0.10810811072587967 '0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000081000000000000000e0000000000000d001000000000000200e
4 37 18 1 1.0 '0000000010000000000000001010000000010 '0.10810811072587967 '0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100200000000000000e0000000000000e001000000000000081c
4 38 19 1 1.0 '0000000010000000000000001000000010010 '0.10810811072587967 '00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000802000000000000c001000000000000001c00000000000030e0
4 43 20 1 1.0 '0000000000000000000011000100010000000 '0.10810811072587967 '00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000080030000000000007200000000000000081c0000000000000ce0
4 27 21 2 1.0 '0000100010000000000000011000100010110 '0.21621622145175934 '00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000e000000000000d00100000000000030e0
4 28 22 2 1.0 '0000010100011000001001000001010000000 '0.21621622145175934 '000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001c000000000000d000000000000000200300000000000040e0
4 30 23 2 1.0 '0000010100000000000010000101110000100 '0.21621622145175934 '00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000410000000000000000e000000000000c00100000000000018e0
4 10 24 2 1.1428571939468384 '0200010100000000001001000001010000000 '0.18918919563293457 '00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000020080000000000000007000000000000a0e0
4 13 25 2 1.1428571939468384 '0100100000000000000021000100010000100 '0.18918919563293457 '00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000e000000000000e00100000000000018e0
4 44 26 2 1.1428571939468384 '0000000000000000000010000201110001100 '0.18918919563293457 '00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000070000000000000008003000000000000081c0000000000000ce0
4 2 27 2 1.3333333730697632 '1000000210102100000000000000000000000 '0.1621621549129486 '000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808000000000000040400000000000004032000000000000800d
4 3 28 2 1.600000023841858 '1000000010202200000000000000000000000 '0.13513512909412384 '0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000200800000000000040c0000000000000a0060000000000004031
4 8 29 2 1.600000023841858 '0200000000000000002002000001010000000 '0.13513512909412384 '00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000e000000000000e00100000000000030e0
4 24 30 2 1.600000023841858 '0000200200102100000000000000000000000 '0.13513512909412384 '00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000040100000000000000022000000000000400c00000000000080c2
4 7 31 3 1.0 '0100100011000100010001000110010000110 '0.3243243098258972 '000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000200400000000000040c0000000000000c0030000000000001038
4 31 32 3 1.0 '0000010110000000000010011101110001100 '0.3243243098258972 '0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000081000000000000000e0000000000000d001000000000000100e
4 12 33 3 1.0909091234207153 '0100100010000000000001010110020010110 '0.29729729890823364 '00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000e000000000000c40100000000000030e0
4 14 34 3 1.0909091234207153 '0100100010000000000002100111010000110 '0.29729729890823364 '000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000800000000000002070000000000000100e000000000000c801
4 42 35 3 1.0909091234207153 '0000000000000000000010011101110012101 '0.29729729890823364 '00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e0000000000000081c00000000000084030000000000007400
4 40 36 3 1.5 '0000000000000000001022000202110000100 '0.21621622145175934 '00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000080030000000000007000000000000000011c0000000000000ce0
4 6 37 4 1.1428571939468384 '0200100012000100011001010001010010110 '0.37837839126586914 '00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010040000000000008003000000000000401800000000000060e0
4 29 38 4 1.600000023841858 '0000020200000000002012000102120000100 '0.2702702581882477 '0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000080200000000000000e0000000000000d001000000000000081c
4 0 39 4 1.7777777910232544 '1000000210204200000000001000020100000 '0.2432432472705841 '00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000300100000000000010060000000000000038000000000000c0c0
4 11 40 5 1.6666666269302368 '0400100000000000002012010102120000201 '0.3243243098258972 '00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000e000000000000d00100000000000028e0
4 1 41 6 1.3333333730697632 '1000020210122100000010111102120100100 '0.4864864945411682 '000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001c0000000000009800000000000000200300000000000040e0
4 45 42 6 2.4000000953674316 '0000000000000000000042010403320012200 '0.2702702581882477 '0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007000000000000000001c00000000000084030000000000000ae0
4 4 43 7 1.4736841917037964 '1000030210000000000021121213120111101 '0.5135135054588318 '0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000040200000000000000e0000000000000d001000000000000081c
4 41 44 7 2.153846263885498 '0000000000000000001020011114520033130 '0.3513513505458832 '00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e000000000000078000000000000008803000000000000041c
4 39 45 14 3.5 '0000000000000000003065220625460135321 '0.4324324429035187 '00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e0000000000000081c00000000000084030000000000007200
5 6 0 1 1.0 '1000000010101100000000000000000000000 '0.13513512909412384 '000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001020000000000000081000000000000018c0000000000000a00c0000000000006003
