ordonne nbOccur taux
1 2 1.0
2 2 1.1666666666666667
3 2 1.1666666666666667
4 2 1.1666666666666667
5 2 1.1666666666666667
6 2 1.1666666666666667
7 2 1.1666666666666667
8 2 1.1666666666666667
9 2 1.1666666666666667
10 2 1.1666666666666667
11 2 1.1666666666666667
12 2 1.1666666666666667
13 2 1.1666666666666667
14 2 1.1666666666666667
15 2 1.1666666666666667
16 2 1.2727272727272727
17 2 1.2727272727272727
18 2 1.2727272727272727
19 2 1.2727272727272727
20 2 1.2727272727272727
21 2 1.2727272727272727
22 2 1.2727272727272727
23 2 1.2727272727272727
24 2 1.2727272727272727
25 2 1.2727272727272727
26 2 1.2727272727272727
27 2 1.4
28 2 1.4
29 2 1.4
30 2 1.4
31 2 1.4
32 2 1.4
33 2 1.4
34 2 1.4
35 2 1.4
36 2 1.4
37 2 1.4
38 2 1.4
39 2 1.4
40 2 1.4
41 2 1.4
42 2 1.4
43 2 1.4
44 2 1.4
45 2 1.4
46 2 1.4
47 2 1.4
48 2 1.4
49 2 1.4
50 2 1.4
51 2 1.4
52 2 1.5555555555555556
53 2 1.5555555555555556
54 2 1.5555555555555556
55 2 1.5555555555555556
56 2 1.5555555555555556
57 2 1.5555555555555556
58 2 1.5555555555555556
59 2 1.5555555555555556
60 2 1.5555555555555556
61 2 1.5555555555555556
62 2 1.5555555555555556
63 2 1.5555555555555556
64 2 1.5555555555555556
65 2 1.75
66 2 1.75
67 2 1.75
68 2 1.75
69 2 1.75
70 2 1.75
71 2 1.75
72 2 1.75
73 2 1.75
74 2 1.75
75 2 1.75
76 2 1.75
77 2 1.75
78 2 1.75
79 2 1.75
80 2 1.75
81 2 1.75
82 2 1.75
83 2 1.75
84 2 1.75
85 2 1.75
86 2 1.75
87 2 1.75
88 2 1.75
89 2 1.75
90 2 1.75
91 2 1.75
92 2 1.75
93 2 1.75
94 2 1.75
95 2 1.75
96 2 1.75
97 2 1.75
98 3 1.3125
99 3 1.3125
100 3 1.3125
101 3 1.4
102 3 1.4
103 3 1.4
104 3 1.5
105 3 1.5
106 3 1.5
107 3 1.5
108 3 1.5
109 3 1.5
110 3 1.5
111 3 1.5
112 3 1.5
113 3 1.5
114 3 1.5
115 3 1.5
116 3 1.6153846153846154
117 3 1.6153846153846154
118 3 1.6153846153846154
119 3 1.75
120 3 1.75
121 3 1.75
122 3 1.75
123 3 1.75
124 3 1.75
125 3 1.9090909090909092
126 3 1.9090909090909092
127 3 1.9090909090909092
128 3 1.9090909090909092
129 3 1.9090909090909092
130 3 1.9090909090909092
131 3 1.9090909090909092
132 3 1.9090909090909092
133 3 1.9090909090909092
134 3 1.9090909090909092
135 3 1.9090909090909092
136 3 1.9090909090909092
137 3 2.1
138 3 2.1
139 3 2.1
140 3 2.1
141 3 2.3333333333333335
142 3 2.3333333333333335
143 3 2.3333333333333335
144 3 2.3333333333333335
145 3 2.3333333333333335
146 3 2.3333333333333335
147 3 2.3333333333333335
148 4 1.6470588235294117
149 4 1.6470588235294117
150 4 1.75
151 4 1.8666666666666667
152 4 1.8666666666666667
153 4 1.8666666666666667
154 4 1.8666666666666667
155 4 1.8666666666666667
156 4 1.8666666666666667
157 4 2.0
158 4 2.0
159 4 2.0
160 4 2.0
161 4 2.0
162 4 2.0
163 4 2.0
164 4 2.1538461538461537
165 4 2.1538461538461537
166 4 2.1538461538461537
167 4 2.3333333333333335
168 4 2.3333333333333335
169 4 2.3333333333333335
170 4 2.5454545454545454
171 4 2.5454545454545454
172 4 2.8
173 4 3.111111111111111
174 4 3.111111111111111
175 5 1.9444444444444444
176 5 1.9444444444444444
177 5 2.0588235294117645
178 5 2.0588235294117645
179 5 2.0588235294117645
180 5 2.0588235294117645
181 5 2.0588235294117645
182 5 2.1875
183 5 2.1875
184 5 2.1875
185 5 2.3333333333333335
186 5 2.3333333333333335
187 5 2.3333333333333335
188 6 2.3333333333333335
189 6 2.4705882352941178
190 6 2.4705882352941178
191 6 2.625
192 6 2.625
193 6 2.625
194 7 2.45
195 7 2.45
196 7 2.7222222222222223
197 7 2.7222222222222223
198 7 2.7222222222222223
199 7 2.7222222222222223
200 7 2.7222222222222223
201 7 2.7222222222222223
202 7 2.7222222222222223
203 8 2.9473684210526314
204 8 3.111111111111111
205 8 3.111111111111111
206 8 3.111111111111111
207 9 3.15
208 9 3.15
209 9 3.3157894736842106
210 9 3.3157894736842106
211 9 3.3157894736842106
212 9 3.5
213 9 3.5
214 10 3.888888888888889
215 11 3.85
216 11 3.85
217 11 3.85
218 12 4.2
219 13 4.55
220 14 4.9
