ordonne nbOccur taux
1 2 1.0
2 2 1.1428571428571428
3 2 1.1428571428571428
4 2 1.1428571428571428
5 2 1.1428571428571428
6 2 1.1428571428571428
7 2 1.1428571428571428
8 2 1.1428571428571428
9 2 1.1428571428571428
10 2 1.1428571428571428
11 2 1.1428571428571428
12 2 1.1428571428571428
13 2 1.1428571428571428
14 2 1.1428571428571428
15 2 1.1428571428571428
16 2 1.1428571428571428
17 2 1.1428571428571428
18 2 1.1428571428571428
19 2 1.1428571428571428
20 2 1.1428571428571428
21 2 1.2307692307692308
22 2 1.2307692307692308
23 2 1.2307692307692308
24 2 1.2307692307692308
25 2 1.2307692307692308
26 2 1.2307692307692308
27 2 1.2307692307692308
28 2 1.2307692307692308
29 2 1.2307692307692308
30 2 1.2307692307692308
31 2 1.2307692307692308
32 2 1.2307692307692308
33 2 1.2307692307692308
34 2 1.2307692307692308
35 2 1.2307692307692308
36 2 1.2307692307692308
37 2 1.3333333333333333
38 2 1.3333333333333333
39 2 1.3333333333333333
40 2 1.3333333333333333
41 2 1.3333333333333333
42 2 1.3333333333333333
43 2 1.3333333333333333
44 2 1.3333333333333333
45 2 1.3333333333333333
46 2 1.3333333333333333
47 2 1.3333333333333333
48 2 1.3333333333333333
49 2 1.3333333333333333
50 2 1.3333333333333333
51 2 1.3333333333333333
52 2 1.3333333333333333
53 2 1.3333333333333333
54 2 1.3333333333333333
55 2 1.3333333333333333
56 2 1.3333333333333333
57 2 1.3333333333333333
58 2 1.3333333333333333
59 2 1.3333333333333333
60 2 1.3333333333333333
61 2 1.3333333333333333
62 2 1.3333333333333333
63 2 1.3333333333333333
64 2 1.3333333333333333
65 2 1.3333333333333333
66 2 1.3333333333333333
67 2 1.3333333333333333
68 2 1.3333333333333333
69 2 1.3333333333333333
70 2 1.3333333333333333
71 2 1.3333333333333333
72 2 1.3333333333333333
73 2 1.3333333333333333
74 2 1.3333333333333333
75 2 1.3333333333333333
76 2 1.3333333333333333
77 2 1.3333333333333333
78 2 1.3333333333333333
79 2 1.3333333333333333
80 2 1.3333333333333333
81 2 1.3333333333333333
82 2 1.3333333333333333
83 2 1.3333333333333333
84 2 1.3333333333333333
85 2 1.3333333333333333
86 2 1.3333333333333333
87 2 1.3333333333333333
88 2 1.3333333333333333
89 2 1.3333333333333333
90 2 1.4545454545454546
91 2 1.4545454545454546
92 2 1.4545454545454546
93 2 1.4545454545454546
94 2 1.4545454545454546
95 2 1.4545454545454546
96 2 1.4545454545454546
97 2 1.4545454545454546
98 2 1.4545454545454546
99 2 1.4545454545454546
100 2 1.4545454545454546
101 2 1.4545454545454546
102 2 1.4545454545454546
103 2 1.4545454545454546
104 2 1.4545454545454546
105 2 1.4545454545454546
106 2 1.4545454545454546
107 2 1.4545454545454546
108 2 1.4545454545454546
109 2 1.4545454545454546
110 2 1.4545454545454546
111 2 1.4545454545454546
112 2 1.4545454545454546
113 2 1.4545454545454546
114 2 1.4545454545454546
115 2 1.6
116 2 1.6
117 2 1.6
118 2 1.6
119 2 1.6
120 2 1.6
121 2 1.6
122 2 1.6
123 2 1.6
124 2 1.6
125 2 1.6
126 2 1.6
127 2 1.6
128 2 1.6
129 2 1.6
130 2 1.6
131 2 1.6
132 2 1.6
133 2 1.6
134 2 1.6
135 2 1.6
136 2 1.6
137 2 1.6
138 2 1.6
139 2 1.6
140 2 1.6
141 2 1.6
142 2 1.6
143 2 1.6
144 2 1.6
145 2 1.6
146 2 1.6
147 2 1.6
148 2 1.6
149 2 1.6
150 2 1.6
151 2 1.6
152 2 1.6
153 2 1.6
154 2 1.6
155 2 1.6
156 2 1.6
157 2 1.6
158 2 1.6
159 2 1.6
160 2 1.6
161 2 1.6
162 2 1.6
163 2 1.6
164 2 1.6
165 2 1.6
166 2 1.6
167 2 1.7777777777777777
168 2 1.7777777777777777
169 2 1.7777777777777777
170 2 1.7777777777777777
171 2 1.7777777777777777
172 2 1.7777777777777777
173 2 1.7777777777777777
174 2 1.7777777777777777
175 2 1.7777777777777777
176 2 1.7777777777777777
177 2 1.7777777777777777
178 2 1.7777777777777777
179 2 1.7777777777777777
180 2 1.7777777777777777
181 2 1.7777777777777777
182 2 1.7777777777777777
183 2 1.7777777777777777
184 2 1.7777777777777777
185 2 1.7777777777777777
186 2 1.7777777777777777
187 2 1.7777777777777777
188 2 1.7777777777777777
189 2 1.7777777777777777
190 2 1.7777777777777777
191 2 1.7777777777777777
192 2 1.7777777777777777
193 2 1.7777777777777777
194 2 1.7777777777777777
195 2 1.7777777777777777
196 2 1.7777777777777777
197 2 1.7777777777777777
198 2 1.7777777777777777
199 2 1.7777777777777777
200 2 1.7777777777777777
201 2 1.7777777777777777
202 2 1.7777777777777777
203 2 1.7777777777777777
204 2 1.7777777777777777
205 2 1.7777777777777777
206 2 1.7777777777777777
207 2 1.7777777777777777
208 2 1.7777777777777777
209 2 1.7777777777777777
210 2 1.7777777777777777
211 2 1.7777777777777777
212 2 1.7777777777777777
213 2 1.7777777777777777
214 2 1.7777777777777777
215 2 1.7777777777777777
216 2 1.7777777777777777
217 2 1.7777777777777777
218 2 1.7777777777777777
219 2 1.7777777777777777
220 2 1.7777777777777777
221 2 1.7777777777777777
222 2 1.7777777777777777
223 2 1.7777777777777777
224 2 1.7777777777777777
225 2 1.7777777777777777
226 2 1.7777777777777777
227 2 1.7777777777777777
228 2 1.7777777777777777
229 2 1.7777777777777777
230 3 1.3333333333333333
231 3 1.3333333333333333
232 3 1.411764705882353
233 3 1.411764705882353
234 3 1.411764705882353
235 3 1.411764705882353
236 3 1.411764705882353
237 3 1.411764705882353
238 3 1.5
239 3 1.5
240 3 1.5
241 3 1.5
242 3 1.5
243 3 1.5
244 3 1.5
245 3 1.5
246 3 1.5
247 3 1.5
248 3 1.5
249 3 1.6
250 3 1.6
251 3 1.6
252 3 1.6
253 3 1.6
254 3 1.6
255 3 1.6
256 3 1.6
257 3 1.6
258 3 1.6
259 3 1.6
260 3 1.7142857142857142
261 3 1.7142857142857142
262 3 1.7142857142857142
263 3 1.7142857142857142
264 3 1.7142857142857142
265 3 1.7142857142857142
266 3 1.7142857142857142
267 3 1.7142857142857142
268 3 1.7142857142857142
269 3 1.7142857142857142
270 3 1.7142857142857142
271 3 1.7142857142857142
272 3 1.7142857142857142
273 3 1.8461538461538463
274 3 1.8461538461538463
275 3 1.8461538461538463
276 3 1.8461538461538463
277 3 1.8461538461538463
278 3 1.8461538461538463
279 3 1.8461538461538463
280 3 1.8461538461538463
281 3 1.8461538461538463
282 3 1.8461538461538463
283 3 1.8461538461538463
284 3 1.8461538461538463
285 3 1.8461538461538463
286 3 1.8461538461538463
287 3 1.8461538461538463
288 3 1.8461538461538463
289 3 1.8461538461538463
290 3 1.8461538461538463
291 3 1.8461538461538463
292 3 1.8461538461538463
293 3 2.0
294 3 2.0
295 3 2.0
296 3 2.0
297 3 2.0
298 3 2.0
299 3 2.0
300 3 2.0
301 3 2.0
302 3 2.0
303 3 2.1818181818181817
304 3 2.1818181818181817
305 3 2.1818181818181817
306 3 2.1818181818181817
307 3 2.1818181818181817
308 3 2.1818181818181817
309 3 2.1818181818181817
310 3 2.1818181818181817
311 3 2.1818181818181817
312 3 2.1818181818181817
313 3 2.1818181818181817
314 3 2.1818181818181817
315 3 2.1818181818181817
316 3 2.1818181818181817
317 3 2.1818181818181817
318 3 2.1818181818181817
319 3 2.4
320 3 2.4
321 3 2.4
322 3 2.4
323 3 2.4
324 3 2.4
325 3 2.4
326 3 2.4
327 4 1.7777777777777777
328 4 1.7777777777777777
329 4 1.7777777777777777
330 4 1.7777777777777777
331 4 1.7777777777777777
332 4 1.8823529411764706
333 4 2.0
334 4 2.0
335 4 2.0
336 4 2.0
337 4 2.0
338 4 2.0
339 4 2.1333333333333333
340 4 2.1333333333333333
341 4 2.1333333333333333
342 4 2.1333333333333333
343 4 2.1333333333333333
344 4 2.1333333333333333
345 4 2.1333333333333333
346 4 2.1333333333333333
347 4 2.1333333333333333
348 4 2.1333333333333333
349 4 2.1333333333333333
350 4 2.2857142857142856
351 4 2.2857142857142856
352 4 2.2857142857142856
353 4 2.2857142857142856
354 4 2.2857142857142856
355 4 2.2857142857142856
356 4 2.2857142857142856
357 4 2.2857142857142856
358 4 2.4615384615384617
359 4 2.6666666666666665
360 4 2.6666666666666665
361 4 2.6666666666666665
362 4 2.6666666666666665
363 4 2.6666666666666665
364 4 2.6666666666666665
365 4 2.6666666666666665
366 4 2.909090909090909
367 4 2.909090909090909
368 4 2.909090909090909
369 5 2.1052631578947367
370 5 2.1052631578947367
371 5 2.1052631578947367
372 5 2.1052631578947367
373 5 2.2222222222222223
374 5 2.2222222222222223
375 5 2.2222222222222223
376 5 2.2222222222222223
377 5 2.2222222222222223
378 5 2.2222222222222223
379 5 2.2222222222222223
380 5 2.3529411764705883
381 5 2.3529411764705883
382 5 2.5
383 5 2.5
384 5 2.6666666666666665
385 5 2.857142857142857
386 6 2.6666666666666665
387 6 2.6666666666666665
388 6 2.6666666666666665
389 6 2.6666666666666665
390 6 2.6666666666666665
391 6 2.823529411764706
392 6 2.823529411764706
393 7 2.8
394 7 2.8
395 7 3.111111111111111
396 7 3.111111111111111
397 7 3.111111111111111
398 7 3.111111111111111
399 7 3.111111111111111
400 7 3.111111111111111
401 7 3.111111111111111
402 7 3.111111111111111
403 8 3.2
404 8 3.5555555555555554
405 8 3.5555555555555554
406 9 3.6
407 9 3.6
408 9 3.6
409 9 3.6
410 9 3.6
411 9 3.6
412 9 3.789473684210526
413 9 3.789473684210526
414 9 4.0
415 10 4.0
416 10 4.0
417 10 4.0
418 10 4.2105263157894735
419 10 4.2105263157894735
